Действующий;Тип;Название;Город;Индекс;"Индекс RU";"Код страны";Страна;КТА;Превышение;Принадлежность;Международный;Email;Web-сайт;Примечание
Действующий;Вертодром;"0-й км";;HEE1;ХЕЕ1;UU-RUSSIA;Россия;"N70.14706° E068.09663°";22;ГА;;;;
Действующий;Вертодром;"1-я Разрывно-Моисеевская";;UNSR;УНСР;UU-RUSSIA;Россия;"N58.09612° E076.00605°";112;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"1-я Северофестивальная";;UNSF;УНСФ;UU-RUSSIA;Россия;"N58.30000° E077.60000°";86;ГА;;;;"Томская область. Россия."
Действующий;Вертодром;"10-й км";Нягань;HA8P;ХА8П;UU-RUSSIA;Россия;"N62.08080° E065.54017°";130;ГА;;;;"Оператор: Приобьлеспром."
Действующий;Вертодром;"10-я Урманская";;HB63;ХБ63;UU-RUSSIA;Россия;"N57.60890° E078.39577°";107;ГА;;;;
Действующий;Вертодром;"1006-й км";;HFW7;ХФВ7;UU-RUSSIA;Россия;"N61.67997° E064.07655°";157;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"1025-й км";;HFW6;ХФВ6;UU-RUSSIA;Россия;"N61.63218° E063.74873°";147;ГА;;;;"Оператор: нет данных."
Недействующий;Вертодром;"105 Куст";;HB64;ХБ64;UU-RUSSIA;Россия;"N66.82417° E079.54205°";49;;;;;
Действующий;Вертодром;"1072-й км";;HFW4;ХФВ4;UU-RUSSIA;Россия;"N61.44525° E062.97777°";148;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"1100-й км";;HFW3;ХФВ3;UU-RUSSIA;Россия;"N61.32152° E062.53457°";135;ГА;;;;"Оператор: нет данных."
Недействующий;Вертодром;"113 Куст";;HB65;ХБ65;UU-RUSSIA;Россия;"N66.78468° E079.59303°";46;;;;;
Недействующий;Вертодром;"117 Куст";;HB66;ХБ66;UU-RUSSIA;Россия;"N66.83858° E079.60677°";40;;;;;
Действующий;Вертодром;"1172-й км";;HDV2;ХДЖ2;UU-RUSSIA;Россия;"N61.06620° E061.31490°";124;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"1180-й км";;HF0Q;ХФ0Я;UU-RUSSIA;Россия;"N61.56507° E048.26552°";70;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"1198-й км";;HDV1;ХДЖ1;UU-RUSSIA;Россия;"N60.93093° E060.93548°";153;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"120 км";;HDU6;ХДУ6;UU-RUSSIA;Россия;"N60.13942° E078.05933°";72;ГА;;;;
Действующий;Вертодром;"122-й км";;HB39;ХБ39;UU-RUSSIA;Россия;"N62.93657° E062.02370°";60;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"1221-й км";;HDV0;ХДЖ0;UU-RUSSIA;Россия;"N60.82057° E060.57620°";83;ГА;;;;
Действующий;Вертодром;"1266-й км";;HF0U;ХФ0У;UU-RUSSIA;Россия;"N62.09555° E049.38683°";99;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"127 км";;HDT4;ХДТ4;UU-RUSSIA;Россия;"N69.37593° E085.43245°";33;ГА;;;;
Действующий;Вертодром;"1286-й км";;HF0V;ХФ0Ж;UU-RUSSIA;Россия;"N62.17197° E049.74238°";132;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"144-я Кулгинская";;HB67;ХБ67;UU-RUSSIA;Россия;"N57.27318° E078.73352°";146;ГА;;;;
Действующий;Вертодром;"153 км";;HDT5;ХДТ5;UU-RUSSIA;Россия;"N69.46927° E085.94080°";25;ГА;;;;
Действующий;Вертодром;"156-й км Убкуа";;HDW0;ХДВ0;UU-RUSSIA;Россия;"N59.96820° E071.04345°";80;ГА;;;;
Действующий;Вертодром;"158 км";;ZDG3;ЗДГ3;UU-RUSSIA;Россия;"N69.50733° E085.99327°";26;ГА;;;;
Недействующий;Вертодром;"159 км";;HB68;ХБ68;UU-RUSSIA;Россия;"N59.87000° E078.52495°";82;ГА;;;;
Действующий;Вертодром;"163-й км МНП";;UUPM;УУПМ;UU-RUSSIA;Россия;"N65.07772° E057.23225°";65;ГА;;;;"Оператор: Нефте-перекачивающая станция (НПС) ""Печора""."
Действующий;Вертодром;"169-й км";;HEZ2;ХЕЗ2;UU-RUSSIA;Россия;"N59.04640° E033.57473°";202;ГА;;;;"Оператор: нет данных."
Недействующий;Вертодром;"172-й км";;HB69;ХБ69;UU-RUSSIA;Россия;"N65.62943° E073.73562°";70;ГА;;;;
Действующий;Вертодром;"172-й км МНП";;HEC4;ХЕЦ4;UU-RUSSIA;Россия;"N65.06830° E057.04748°";83;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;"178-й км";;HB3E;ХБ3Е;UU-RUSSIA;Россия;"N62.99100° E060.96647°";162;ГА;;;;
Действующий;Вертодром;"18 Северо-Васюганская";;UNSW;УНСВ;UU-RUSSIA;Россия;"N59.35845° E078.36040°";80;ГА;;;;"Оператор: нет данных. PCN 14/R/B/W/U."
Действующий;Вертодром;"181 Соболиная";;UNSB;УНСБ;UU-RUSSIA;Россия;"N58.45888° E079.53171°";74;ГА;;;;
Недействующий;Вертодром;"183 км";;HD7D;ХД7Д;UU-RUSSIA;Россия;"N61.03222° E069.26812°";29;ГА;;;;
Действующий;Вертодром;"2 км";;HB6B;ХБ6Б;UU-RUSSIA;Россия;"N60.74225° E077.53357°";44;ГА;;;;"Маркирована. Оборудована ветроуказателем."
Недействующий;Вертодром;"2-й Городок";;H498;Х498;UU-RUSSIA;Россия;"N56.03833° E063.94167°";110;МО;;;;
Действующий;Вертодром;"20 лет Октября";;HB6D;ХБ6Д;UU-RUSSIA;Россия;"N59.76925° E078.83510°";85;ГА;;;;
Действующий;Вертодром;"203-й пикет";;UUXD;УУЬД;UU-RUSSIA;Россия;"N64.33083° E057.37203°";110;ГА;;"gazavia, gsp@mail.ru";;"Оператор: ОАО «Севергазпром» Ухтинский филиал
ООО Авиапредприятие «Газпромавиа». Взлет и посадка в секторе Ам
040°-140° с ПП2 запрещены."
Действующий;Вертодром;"207-й км";;HA7P;ХА7П;UU-RUSSIA;Россия;"N63.08342° E060.43142°";185;ГА;;;;
Действующий;Вертодром;"21-й км";;HE75;ХЕ75;UU-RUSSIA;Россия;"N69.60188° E170.72521°";0;АОН;;;;"Площадка принадлежит «Чукотской Горно-Геологической компании», подразделению компании «Кинросс Дальний Восток»."
