;District RUS;Region RUS;Район RUS;City RUS;ШИРОТА google;ДОЛГОТА google;Актуален М;Актуален В;Актуален Е;;
1;СФО;Республика Хакасия;Таштыпский;Абаза;52.633;90.1;0;0;1;1;1
3;СФО;Республика Хакасия;Усть-Абаканский;Абакан;53.716;91.4;0;1;1;2;1
4;СФО;Красноярский край;Абанский;Абан;56.7;96.33;0;0;1;1;1
8;ДФО;Республика Саха (Якутия);Абыйский;Абый;68.39;145.07;0;1;0;1;1
10;СФО;Забайкальский край;Агинский;Агинское;51.116;114.55;0;1;0;1;1
11;СФО;Красноярский край;Саянский;Агинское;55.25;94.883;0;0;1;1;1
18;ЮФО;Краснодарский край;;Адлер ;43.43361111;39.91611111;1;1;1;3;1
24;СФО;Красноярский край;Енисейский;Айдара;58.516;88.4;0;0;1;1;1
25;ДФО;Республика Саха (Якутия);Мирнинский;Айхал;65.966;111.533;0;1;1;2;1
32;ПФО;Республика Татарстан;Актанышский;Актаныш;55.716;54.83;0;0;1;1;1
34;ПФО;Республика Башкортостан;Хайбуллинский;Акъяр;51.866;58.183;0;1;0;1;1
39;ДФО;Республика Саха (Якутия);Алданский;Алдан;58.616;125.366;0;1;1;2;1
130;СФО;Томская область;Александровский;Александровское;60.433;77.866;0;1;1;2;1
133;ДФО;Сахалинская область;Александровск-Сахалинский;Александровск-Сахалинский;50.9;142.166;0;1;0;1;1
200;ПФО;Удмуртская Республика;Алнашский;Алнаши;56.183;52.466;0;0;1;1;1
207;СФО;Алтайский край;Алтайский;Алтайский;51.966;85.35;0;0;1;1;1
211;СЗФО;Архангельская область;;Амдерма;69.75611111;61.66666667;0;0;1;1;1
214;ДФО;Чукотский автономный округ;Анадырский;Анадырь;64.733;160.866;0;1;1;2;1
215;ЮФО;Краснодарский край;Анапский;Анапа;44.883;37.283;0;1;1;2;1
219;СФО;Кемеровская область;Яйский;Анжеро-Судженск;56.1;86.33;0;0;1;1;1
235;СФО;Красноярский край;Северо-енисейский;Анциферово;58.866;91.85;0;0;1;1;1
243;ДФО;Магаданская область;Чаунский;Апапельгино;69.8;157.466;0;0;1;1;1
248;ЮФО;Краснодарский край;Апшеронский;Апшеронск;44.466;39.733;0;0;1;1;1
253;ПФО;Республика Мордовия;Ардатовский;Ардатов;54.833;46.233;0;0;1;1;1
256;СКФО;Ставропольский край;Арзгирский;Арзгир;45.4;44.216;0;1;0;1;1
259;ЮФО;Краснодарский край;#Н/Д;Армавир ;45;41.116667;0;0;1;1;1
265;ЦФО;Тульская область;Арсеньевский;Арсеньево;53.733;36.666;1;0;0;1;1
269;ДФО;Хабаровский край;Нанайский;Арсеньево;49.216;137.66;0;1;1;2;1
275;СЗФО;Архангельская область;Приморский;Архангельск;64.55;40.566;0;1;1;2;1
277;ДФО;Амурская область;Архаринский;Архара;49.416;130.83;0;0;1;1;1
281;ЮФО;Астраханская область;Володарский;Астрахань;46.33333333;48.01666667;0;1;1;2;1
303;СКФО;Ставропольский край;Нефтекумский;Ачикулак;44.566;44.833;0;1;1;2;1
304;СФО;Красноярский край;Ачинский;Ачинск;56.283;90.5;0;1;1;2;1
311;ДФО;Хабаровский край;;Аян;56.45;138.15;0;1;0;1;1
325;ЮФО;Ростовская область;Шолоховский;Базковская;49.6;41.716;0;1;0;1;1
328;СФО;Красноярский край;Байкитский;Байкит;61.666;96.366;0;0;1;1;1
337;СФО;Томская область;Бакчарский;Бакчар;57.83;81.916;0;1;0;1;1
343;ПФО;Саратовская область;Балаковский;Балаково;52.33;47.783;0;1;1;2;1
349;СФО;Красноярский край;Балахтинский;Балахта;55.383;91.666;0;0;1;1;1
352;СФО;Забайкальский край;Балейский;Балей;51.583;116.633;0;0;1;1;1
354;СФО;Новосибирская область;Барабинский;Барабинск;55.35;78.35;0;1;0;1;1
356;СФО;Алтайский край;Барнаульский;Барнаул;53.35;83.816;0;1;1;2;1
360;ДФО;Республика Саха (Якутия);Верхоянский;Батагай;67.633;134.633;0;1;1;2;1
370;СФО;Томская область;Кожевниковский;Батурино;55.7;83.583;0;1;0;1;1
391;ЮФО;Ростовская область;Белокалитвинский;Белая Калитва;48.183;40.766;0;1;0;1;1
393;ЦФО;Белгородская область;Белгородский;Белгород;50.6;36.6;0;0;1;1;1
м;ЦФО;Тульская область;Белевский;Белев;53.80000001;36.13333334;1;0;0;1;1
414;СЗФО;Вологодская область;Белозерский;Белозерск;60.33;37.783;0;1;0;1;1
417;СФО;Алтайский край;;Белокуриха;52;84.98333333;0;1;1;2;1
419;ПФО;Кировская область;Омутнинский;Белорецк;58.666;52.466;0;1;0;1;1
420;ПФО;Республика Башкортостан;Белорецкий;Белорецк;53.95;58.4;0;0;1;1;1
438;СФО;Томская область;Тегульдетский;Белый Яр;58.433;85.16;0;1;1;2;1
446;СФО;Томская область;Тегульдетский;Берегаево;57.166;87.533;0;1;0;1;1
452;СЗФО;Архангельская область;Шенкурский;Березник;61.833;42.616;0;0;1;1;1
472;ПФО;Пермский край;Усольский;Березники;59.4;56.766;0;0;1;1;1
510;ЮФО;Волгоградская область;Руднянский;Березовка;50.65;44.5;0;0;1;1;1
563;УФО;Тюменская область;Ханты-Мансийский;Березовка;60.883;68.866;0;1;0;1;1
578;ПФО;Кировская область;Юрьянский;Березово;59.83;49.55;0;0;1;1;1
579;УФО;Курганская область;Белозерский;Березово;56.33;65.466;0;1;0;1;1
616;ДФО;Магаданская область;Беринговский;Беринговский;63.66;161.766;0;0;1;1;1
622;СФО;Алтайский край;Бийский;Бийск;52.533;85.2;0;1;1;2;1
624;ДФО;Чукотский автономный округ;Билибинский;Билибино;68.05;166.45;0;1;1;2;1
625;СФО;Красноярский край;Бирилюсский;Бирилюссы;57.133;90.7;0;0;1;1;1
629;ДФО;Амурская область;;Благовещенск;50.25777778;127.5363889;0;1;1;2;1
631;ЮФО;Краснодарский край;Отрадненский;Благодарное;44.5;41.55;0;1;0;1;1
680;ДФО;Амурская область;Ивановский;Богородское;50.45;127.816;0;1;0;1;1
703;ДФО;Хабаровский край;Богородский;Богородское;52.383;140.466;0;0;1;1;1
708;СФО;Красноярский край;Богучанский;Богучаны;58.383;97.45;0;0;1;1;1
710;СФО;Иркутская область;Бодайбинский;Бодайбо;57.85;114.233;0;1;1;2;1
711;ЮФО;Ростовская область;Боковский;Боковская;49.216;41.833;0;1;0;1;1
725;СФО;Омская область;Большеуковский;Большие Уки;56.933;72.666;0;1;0;1;1
734;СФО;Республика Хакасия;Бейский;Бондарево;52.916;90.5;0;0;1;1;1
776;СФО;Забайкальский край;Борзинский;Борзя;50.4;116.516;0;1;1;2;1
830;СФО;Иркутская область;Братский;Братск;56.11666667;101.6;0;1;1;2;1
831;ДФО;Хабаровский край;им. Полины Осипенко;Бриакан;52.283;135.916;0;0;1;1;1
836;ЦФО;Брянская область;Брянский;Брянск;53.25;34.316;1;1;1;3;1
860;ПФО;Республика Татарстан;Бугульминский;Бугульма;54.583;52.8;0;1;1;2;1
862;СКФО;Ставропольский край;Буденновский;Буденновск;44.783;44.133;0;1;0;1;1
873;СФО;Забайкальский край;Чернышевский;Букачача;52.983;116.9;0;1;0;1;1
876;ДФО;Республика Саха (Якутия);Усть-Алданский;Булун;62.883;130.316;0;1;0;1;1
884;ДФО;Сахалинская область;Курильский;Буревестник;44.916;147.616;0;1;0;1;1
896;СФО;Забайкальский край;Приаргунский;Бырка;50.633;118.55;0;1;0;1;1
897;СФО;Алтайский край;Быстроистокский;Быстрый Исток;52.366;84.383;0;0;1;1;1
900;УФО;Тюменская область;Вагайский;Вагай;57.916;69.16;0;1;0;1;1
