1;Москва;4930,57;12380664;2511;ЦФО;Москва
2;Санкт-Петербург;3764,49;5281579;1403;СЗФО;Санкт-Петербург
3;Севастополь;496,24;428753;864;ЮФО;Севастополь
4;Московская область;167,27;7423470;44379;ЦФО;Подольск
5;Республика Ингушетия;132,43;480474;3628;СКФО;Магас
6;Чеченская Республика;90,42;1414865;15647;СКФО;Грозный
7;Республика Северная Осетия — Алания;88,05;703262;7987;СКФО;Владикавказ
8;Краснодарский край;73,8;5570945;75485;ЮФО;Краснодар
9;Республика Крым;73,32;1912168;26081;ЮФО;Симферополь
10;Кабардино-Балкарская Республика;69,32;864454;12470;СКФО;Нальчик
11;Чувашская Республика;67,38;1235863;18343;ПФО;Чебоксары
12;Калининградская область;65,21;986261;15125;СЗФО;Калининград
13;Республика Дагестан;60,51;3041900;50270;СКФО;Махачкала
14;Самарская область;59,81;3203679;53565;ПФО;Самара
15;Тульская область;58,39;1499417;25679;ЦФО;Тула
16;Республика Адыгея;58,18;453366;7792;ЮФО;Майкоп
17;Республика Татарстан;57,26;3885253;67847;ПФО;Казань
18;Белгородская область;57,23;1552865;27134;ЦФО;Белгород
19;Липецкая область;48,08;1156221;24047;ЦФО;Липецк
20;Владимирская область;47,78;1389599;29084;ЦФО;Владимир
21;Ивановская область;47,73;1023170;21437;ЦФО;Иваново
22;Воронежская область;44,73;2335408;52216;ЦФО;Воронеж
23;Ставропольский край;42,39;2804383;66160;СКФО;Ставрополь
24;Нижегородская область;42,39;3247713;76624;ПФО;Нижний-Новгород
25;Ростовская область;41,91;4231355;100967;ЮФО;Ростов-на-Дону
26;Челябинская область;39,56;3502323;88529;УФО;Челябинск
27;Курская область;37,43;1122893;29997;ЦФО;Курск
28;Удмуртская Республика;36,06;1516826;42061;ПФО;Ижевск
29;Ярославская область;35,13;1270736;36177;ЦФО;Ярославль
30;Брянская область;35,02;1220530;34857;ЦФО;Брянск
31;Калужская область;34,07;1014570;29777;ЦФО;Калуга
32;Ульяновская область;33,7;1252887;37181;ПФО;Ульяновск
33;Карачаево-Черкесская Республика;32,67;466432;14277;СКФО;Черкесск
34;Республика Мордовия;30,95;808541;26128;ПФО;Саранск
35;Пензенская область;30,94;1341526;43352;ПФО;Пенза
36;Орловская область;30,62;754816;24652;ЦФО;Орел
37;Тамбовская область;30,19;1040327;34462;ЦФО;Тамбов
38;Республика Марий Эл;29,29;684684;23375;ПФО;Йошкар-Ола
39;Республика Башкортостан;28,45;4066972;142947;ПФО;Уфа
40;Рязанская область;28,45;1126739;39605;ЦФО;Рязань
41;Кемеровская область;28,3;2708844;95725;СФО;Кемерово
42;Саратовская область;24,49;2479260;101240;ПФО;Саратов
43;Волгоградская область;22,46;2535202;112877;ЮФО;Волгоград
44;Свердловская область;22,28;4329341;194307;УФО;Екатеринбург
45;Ленинградская область;21,36;1791916;83908;СЗФО;Ленинградская область, Пушкин
46;Астраханская область;20,78;1018866;49024;ЮФО;Астрахань
47;Смоленская область;19,15;953201;49779;ЦФО;Смоленск
48;Пермский край;16,43;2632097;160236;ПФО;Пермь
49;Оренбургская область;16,08;1989589;123702;ПФО;Оренбург
50;Новосибирская область;15,64;2779555;177756;СФО;Новосибирск
51;Тверская область;15,4;1296799;84201;ЦФО;Тверь
52;Алтайский край;14,08;2365680;167996;СФО;Барнаул
53;Омская область;13,98;1972682;141140;СФО;Омск
54;Курганская область;11,95;854109;71488;УФО;Курган
55;Приморский край;11,68;1923116;164673;ДВФО;Владивосток
56;Псковская область;11,59;642164;55399;СЗФО;Псков
57;Новгородская область;11,24;612522;54501;СЗФО;Великий Новгород
58;Костромская область;10,76;648157;60211;ЦФО;Кострома
59;Кировская область;10,73;1291684;120374;ПФО;Киров
60;Тюменская область;9,23;1477903;160122;УФО;Тюмень
60;Республика Хакасия;8,73;537668;61569;СФО;Абакан
61;Вологодская область;8,19;1183860;144527;СЗФО;Вологда
62;Сахалинская область;5,6;487344;87101;ДВФО;Южно-Сахалинск
63;Мурманская область;5,23;757621;144902;СЗФО;Мурманск
64;Еврейская автономная область;4,53;164217;36266;ДВФО;Биробиджан
65;Республика Калмыкия;3,72;277803;74731;ЮФО;Элиста
66;Республика Карелия;3,47;627083;180520;СЗФО;Петрозаводск
67;Томская область;3,43;1078891;314391;СФО;Томск
68;Иркутская область;3,11;2408901;774846;СФО;Иркутск
69;Ханты-Мансийский автономный округ — Югра;3,08;1646078;534801;УФО;Ханты-Мансийск
70;Республика Бурятия;2,8;984134;351334;СФО;Улан-Удэ
71;Архангельская область;2,72;1121813;413103;СЗФО;Архангельск
71;Тюменская область;2,5;3660030;1464173;УФО;Тюмень
72;Забайкальский край;2,5;1078983;431892;СФО;Чита
73;Республика Алтай;2,34;217007;92903;СФО;Горно-Алтайск
74;Амурская область;2,22;801752;361913;ДВФО;Благовещенск
75;Республика Коми;2,04;850554;416774;СЗФО;Сыктывкар
76;Архангельская область;1,98;1165750;589913;СЗФО;Архангельск
77;Республика Тыва;1,89;318550;168604;СФО;Кызыл
78;Хабаровский край;1,69;1333294;787633;ДВФО;Хабаровск
79;Красноярский край;1,21;2875301;2366797;СФО;Красноярск
80;Ямало-Ненецкий автономный округ;0,7;536049;769250;УФО;Салехард
81;Камчатский край;0,68;314729;464275;ДВФО;Петропавловск-Камчатский
82;Магаданская область;0,31;145570;462464;ДВФО;Магадан
83;Республика Саха;0,31;962835;3083523;ДВФО;Якутск
84;Ненецкий автономный округ;0,25;43937;176810;СЗФО;Нарьян-Мар
85;Чукотский автономный округ;0,07;49822;721481;ДВФО;Анадырь
